MONTH,Close,MOMENTUM_PERCENT_CHANGE,SWITCH_DYNAMIC,SWITCH_DYNAMIC_OPTIMISTIC,SWITCH_DYNAMIC_PESSIMISTIC,AMOUNT_SWITCH_DYNAMIC_OPTIMISTIC,AMOUNT_SWITCH_DYNAMIC,AMOUNT_SWITCH_DYNAMIC_PESSIMISTIC
Jan-22,33759.45,-2.44,MOMENTUM,MOMENTUM,MOMENTUM,1000.0,1000.0,1000.0
Feb-22,31885.3,-5.55,CASH,CASH,CASH,1000.0,1000.0,1000.0
Mar-22,35463.05,11.22,MOMENTUM,MOMENTUM,MOMENTUM,1112.21,1112.21,1112.2068790320304
Apr-22,34333.15,-3.19,MOMENTUM,CASH,CASH,1112.21,1076.77,1112.2068790320304
May-22,30173.5,-12.12,CASH,CASH,CASH,1112.21,1076.77,1112.2068790320304
Jun-22,26214.1,-13.12,CASH,CASH,CASH,1112.21,1076.77,1112.2068790320304
Jul-22,28286.15,7.9,MOMENTUM,MOMENTUM,MOMENTUM,1200.12,1161.88,1200.1194247115816
Aug-22,29957.6,5.91,MOMENTUM,MOMENTUM,MOMENTUM,1271.04,1230.54,1271.0353893244458
Sep-22,29586.2,-1.24,MOMENTUM,CASH,CASH,1271.04,1215.28,1271.0353893244458
Oct-22,30520.5,3.16,MOMENTUM,CASH,CASH,1271.04,1253.66,1271.0353893244458
Nov-22,30688.1,0.55,MOMENTUM,CASH,CASH,1271.04,1260.54,1271.0353893244458
Dec-22,29685.5,-3.27,MOMENTUM,CASH,CASH,1271.04,1219.36,1271.0353893244458
Jan-23,27358.05,-7.84,CASH,CASH,CASH,1271.04,1219.36,1271.0353893244458
Feb-23,25277.2,-7.61,CASH,CASH,CASH,1271.04,1219.36,1271.0353893244458
Mar-23,25993.55,2.83,CASH,CASH,CASH,1271.04,1219.36,1271.0353893244458
Apr-23,27659.4,6.41,MOMENTUM,MOMENTUM,MOMENTUM,1352.49,1297.51,1352.49230087774
May-23,29305.7,5.95,MOMENTUM,MOMENTUM,MOMENTUM,1432.99,1374.74,1432.9932544390979
Jun-23,31290.15,6.77,MOMENTUM,MOMENTUM,MOMENTUM,1530.03,1467.83,1530.0291028839965
Jul-23,33995.7,8.65,MOMENTUM,MOMENTUM,MOMENTUM,1662.33,1594.74,1662.325376289774
Aug-23,34723.85,2.14,MOMENTUM,MOMENTUM,MOMENTUM,1697.93,1628.9,1697.9305329050344
Sep-23,36197.55,4.24,MOMENTUM,MOMENTUM,MOMENTUM,1769.99,1698.03,1769.9916731974315
