MONTH,Close,MOMENTUM_PERCENT_CHANGE,SWITCH_DYNAMIC,SWITCH_DYNAMIC_OPTIMISTIC,SWITCH_DYNAMIC_PESSIMISTIC,AMOUNT_SWITCH_DYNAMIC_OPTIMISTIC,AMOUNT_SWITCH_DYNAMIC,AMOUNT_SWITCH_DYNAMIC_PESSIMISTIC
Mar-06,1797.03,26.51,MOMENTUM,MOMENTUM,MOMENTUM,1000.0,1000.0,1000.0
Apr-06,1920.62,23.34,MOMENTUM,MOMENTUM,MOMENTUM,1068.77,1068.77,1068.7745891832633
May-06,1594.6,-0.69,MOMENTUM,CASH,CASH,1068.77,887.35,1068.7745891832633
Jun-06,1585.17,-11.79,CASH,CASH,CASH,1068.77,887.35,1068.7745891832633
Jul-06,1585.12,-17.47,CASH,CASH,CASH,1068.77,887.35,1068.7745891832633
Aug-06,1738.53,9.03,CASH,MOMENTUM,MOMENTUM,1172.21,887.35,1172.2120006893983
Sep-06,1843.75,16.31,MOMENTUM,MOMENTUM,MOMENTUM,1243.16,941.06,1243.1570788373388
Oct-06,1930.0,21.76,MOMENTUM,MOMENTUM,MOMENTUM,1301.31,985.08,1301.3115455761701
Nov-06,2029.75,16.75,MOMENTUM,MOMENTUM,MOMENTUM,1368.57,1035.99,1368.5684505871666
Dec-06,2044.94,10.91,MOMENTUM,MOMENTUM,MOMENTUM,1378.81,1043.75,1378.8103792800694
Jan-07,2052.48,6.35,MOMENTUM,MOMENTUM,MOMENTUM,1383.89,1047.59,1383.8942596187453
Feb-07,1870.12,-7.86,CASH,CASH,CASH,1383.89,1047.59,1383.8942596187453
Mar-07,1881.72,-7.98,CASH,CASH,CASH,1383.89,1047.59,1383.8942596187453
Apr-07,2073.07,1.0,CASH,CASH,CASH,1383.89,1047.59,1383.8942596187453
May-07,2177.09,16.41,MOMENTUM,MOMENTUM,MOMENTUM,1453.33,1100.16,1453.3336325707162
Jun-07,2304.71,22.48,MOMENTUM,MOMENTUM,MOMENTUM,1538.53,1164.65,1538.5273720066946
Jul-07,2436.65,17.54,MOMENTUM,MOMENTUM,MOMENTUM,1626.6,1231.32,1626.604961578729
Aug-07,2377.59,9.21,MOMENTUM,MOMENTUM,MOMENTUM,1587.18,1201.48,1587.1789918945972
Sep-07,2769.68,20.17,MOMENTUM,MOMENTUM,MOMENTUM,1848.92,1399.62,1848.9217696367446
Oct-07,3583.07,47.05,MOMENTUM,MOMENTUM,MOMENTUM,2391.91,1810.65,2391.9066914345094
Nov-07,3825.63,60.9,MOMENTUM,MOMENTUM,MOMENTUM,2553.83,1933.22,2553.8295361108217
Dec-07,4070.19,46.96,MOMENTUM,MOMENTUM,MOMENTUM,2717.09,2056.81,2717.0874965908633
Jan-08,3300.35,-7.89,CASH,CASH,CASH,2717.09,2056.81,2717.0874965908633
Feb-08,3216.73,-15.92,CASH,CASH,CASH,2717.09,2056.81,2717.0874965908633
Mar-08,2651.32,-34.86,CASH,CASH,CASH,2717.09,2056.81,2717.0874965908633
Apr-08,3028.16,-8.25,CASH,CASH,CASH,2717.09,2056.81,2717.0874965908633
May-08,2808.47,-12.69,CASH,CASH,CASH,2717.09,2056.81,2717.0874965908633
Jun-08,2170.72,-18.13,CASH,CASH,CASH,2717.09,2056.81,2717.0874965908633
Jul-08,2411.77,-20.36,CASH,CASH,CASH,2717.09,2056.81,2717.0874965908633
Aug-08,2420.12,-13.83,CASH,CASH,CASH,2717.09,2056.81,2717.0874965908633
Sep-08,2121.03,-2.29,CASH,CASH,CASH,2717.09,2056.81,2717.0874965908633
Oct-08,1542.47,-36.04,CASH,CASH,CASH,2717.09,2056.81,2717.0874965908633
Nov-08,1535.42,-36.56,CASH,CASH,CASH,2717.09,2056.81,2717.0874965908633
Dec-08,1637.27,-22.81,CASH,CASH,CASH,2717.09,2056.81,2717.0874965908633
Jan-09,1631.87,5.8,CASH,MOMENTUM,MOMENTUM,2708.13,2056.81,2708.1260714859077
Feb-09,1579.37,2.86,CASH,MOMENTUM,MOMENTUM,2621.0,2056.81,2621.001105187728
Mar-09,1725.86,5.41,CASH,MOMENTUM,MOMENTUM,2864.1,2056.81,2864.104654007163
Apr-09,1835.1,12.45,MOMENTUM,MOMENTUM,MOMENTUM,3045.39,2187.0,3045.39096483408
May-09,2089.69,32.31,MOMENTUM,MOMENTUM,MOMENTUM,3467.89,2490.41,3467.888968069385
Jun-09,2129.66,23.4,MOMENTUM,MOMENTUM,MOMENTUM,3534.22,2538.04,3534.220109077732
Jul-09,2375.0,29.42,MOMENTUM,MOMENTUM,MOMENTUM,3941.37,2830.43,3941.3675230128824
Aug-09,2375.44,13.67,MOMENTUM,MOMENTUM,MOMENTUM,3942.1,2830.95,3942.0977132066196
Sep-09,2561.75,20.29,MOMENTUM,MOMENTUM,MOMENTUM,4251.28,3052.99,4251.283474559264
Oct-09,2444.19,2.91,MOMENTUM,MOMENTUM,MOMENTUM,4056.19,2912.88,4056.1899309780447
Nov-09,2681.19,12.87,MOMENTUM,MOMENTUM,MOMENTUM,4449.5,3195.33,4449.496921695541
Dec-09,2760.61,7.76,MOMENTUM,MOMENTUM,MOMENTUM,4581.3,3289.98,4581.296251665091
Jan-10,2646.08,8.26,MOMENTUM,MOMENTUM,MOMENTUM,4391.23,3153.49,4391.231063281653
Feb-10,2675.55,-0.21,MOMENTUM,CASH,CASH,4391.23,3188.61,4391.231063281653
Mar-10,2811.48,1.84,MOMENTUM,CASH,CASH,4391.23,3350.61,4391.231063281653
Apr-10,2879.24,8.81,MOMENTUM,MOMENTUM,MOMENTUM,4497.06,3431.36,4497.064936134373
May-10,2750.12,2.79,MOMENTUM,MOMENTUM,MOMENTUM,4295.39,3277.48,4295.3933059286
Jun-10,2826.5,0.53,MOMENTUM,MOMENTUM,CASH,4414.69,3368.51,4295.3933059286
Jul-10,2969.26,3.13,MOMENTUM,MOMENTUM,CASH,4637.67,3538.64,4295.3933059286
