Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
09-SEP-2022,19870.7,19872.6,19639.9,19692.95,143819630,6620.75
12-SEP-2022,19777.35,19897.4,19762.75,19874.7,140616343,7541.2
13-SEP-2022,19975,20085.6,19954.65,20061.65,141992353,9101.93
14-SEP-2022,19827.3,20144.1,19812.35,20076,197693780,9316.29
15-SEP-2022,20189.3,20235,20017.45,20188.4,189991095,9229.28
16-SEP-2022,20167,20189.05,19620.7,19772.8,309306308,15864.35
19-SEP-2022,19800.5,19886.85,19620.55,19792.75,176074467,7977.59
20-SEP-2022,19940.05,20120.2,19925.15,20012.2,155083838,8220
21-SEP-2022,20024.8,20134.85,19739.05,19819.75,164374132,9686.73
22-SEP-2022,19748.25,19959.55,19667.7,19929.3,199293733,9411.55
23-SEP-2022,19924.55,19983.45,19424.2,19498.35,249757059,10337.8
26-SEP-2022,19312.6,19328.8,18702.6,18869.75,378706427,13644.99
27-SEP-2022,18998.2,19095.75,18731.3,18873.3,217630421,9833.04
28-SEP-2022,18740.25,18948.65,18684.8,18769.05,215577493,9287.5
29-SEP-2022,18956.5,19118.6,18783.6,18901.3,302183668,15834.39
30-SEP-2022,18880.7,19211,18712.2,19130.55,263876013,11598.42
03-OCT-2022,19184.35,19268.2,18758.05,18842.8,226014239,11057.18
04-OCT-2022,19138.3,19262.1,19051.05,19243.3,161916781,8683.65
06-OCT-2022,19382.75,19482.55,19357.75,19405.6,179316408,9288.27
07-OCT-2022,19443.9,19503.05,19315.5,19485.95,171586028,8805.18
10-OCT-2022,19270.35,19393.7,19177.45,19279.7,160234490,7065.03
11-OCT-2022,19362.9,19362.9,18997.1,19037.7,155496061,7209.59
12-OCT-2022,19094.05,19217.85,18958.7,19187.75,155229330,7357.98
13-OCT-2022,19182.1,19250.45,19002.2,19079.2,130040945,6099.95
14-OCT-2022,19368.55,19376.4,19012.05,19030.5,130112023,5949.53
17-OCT-2022,18986.95,19201.15,18865.7,19179.5,136890343,6934.77
18-OCT-2022,19285.5,19508.25,19282.55,19489.6,180775652,8005.42
19-OCT-2022,19552.8,19597.8,19428.85,19477.55,153337332,8401.01
20-OCT-2022,19413.7,19582.05,19315.15,19553.7,180797850,7589.52
21-OCT-2022,19598.65,19672.8,19338.45,19426.3,162687243,6868.09
24-OCT-2022,19613.45,19644.65,19511.95,19541.85,26832619,1348.75
25-OCT-2022,19598.9,19601.5,19449.05,19561.75,170630429,7267.4
27-OCT-2022,19659.75,19791.8,19612.35,19748.9,195790806,8711.23
28-OCT-2022,19783.05,19812.45,19701.15,19771.4,180572461,8615.61
31-OCT-2022,19855.75,20033.65,19849.3,20019.85,172180915,8178.89
01-NOV-2022,20114.65,20359.05,20089.6,20343.3,228922859,11000.03
02-NOV-2022,20345.6,20384.45,20246.25,20292.75,192914768,9474.76
03-NOV-2022,20182.9,20370.8,20168.75,20287.6,154555675,6923.2
04-NOV-2022,20347.2,20374.4,20230.75,20337.7,154727332,9366.72
07-NOV-2022,20458.85,20515.4,20337.85,20466.1,287096946,12072.17
09-NOV-2022,20585,20587.35,20335.95,20381.45,265254474,10879.32
10-NOV-2022,20319.45,20322.85,20044,20121.4,209493760,8978.43
11-NOV-2022,20332.8,20380.15,20065.45,20118.45,211821202,10001.4
15-NOV-2022,20094.6,20152.55,20008.65,20128.95,171870036,7338.77
16-NOV-2022,20153.65,20180.85,19953.9,20066.65,162575627,8903.92
17-NOV-2022,20036.7,20083.9,19952.75,20003.3,155933433,7566.38
18-NOV-2022,20032.7,20046.85,19727.55,19825.2,157750008,7653.54
21-NOV-2022,19786.55,19796.25,19661.55,19781,132920917,6305.53
22-NOV-2022,19793.4,19931.3,19765.2,19918,126275593,6434.37
23-NOV-2022,20002.1,20002.1,19863.2,19890.6,145095519,7066.71
24-NOV-2022,19943.55,20033.3,19885.55,20008.2,126890925,6664.15
25-NOV-2022,20066.35,20103.45,19976.5,20080,137392965,6557.96
28-NOV-2022,20045.4,20192.5,20013.55,20125.25,123161485,8467.26
29-NOV-2022,20147.1,20181.55,20054.05,20079.05,111488749,5782.38
30-NOV-2022,20101.15,20321.5,20093.9,20264.3,313064305,16774.94
01-DEC-2022,20353.85,20361.45,20209.55,20264.6,185139866,7375.41
02-DEC-2022,20268.5,20285.5,20176.15,20245.25,137040335,6690.84
05-DEC-2022,20292.25,20310.75,20086.55,20291.05,148619731,7617.69
06-DEC-2022,20256.6,20324.85,20231.05,20302,155142264,7285.6
07-DEC-2022,20313.55,20336.9,20165.75,20200.45,123569969,6655.7
08-DEC-2022,20232.45,20275.7,20174.9,20224.85,193582505,7626.72
09-DEC-2022,20288.9,20380.95,20027.2,20197.15,204438789,9033.09
12-DEC-2022,20178.1,20219.3,20051.35,20182.3,139267147,6090.83
13-DEC-2022,20229.8,20280.55,20185.4,20265,124290264,6435.07
14-DEC-2022,20319.4,20394.6,20313.75,20360.55,123732992,6100.69
15-DEC-2022,20342.15,20394.45,20096.4,20131.4,145527189,7158.33
16-DEC-2022,20048.7,20119.35,19784.35,19810.8,231026165,10927.89
19-DEC-2022,19824.8,20058.7,19736.95,20035.3,131918260,6391.59
20-DEC-2022,20015.85,20037.75,19817.3,20019.8,103958163,6297.93
21-DEC-2022,20079.5,20122.65,19575.4,19631.95,131244620,7044.63
22-DEC-2022,19722.45,19759.35,19342.1,19450.2,141857770,7122.77
23-DEC-2022,19282.55,19389.25,18877.7,18925.1,171948881,8271.13
26-DEC-2022,18931.1,19364.15,18822.85,19271.4,146935371,6669.18
27-DEC-2022,19390.1,19467.75,19248.8,19394.95,118189010,5383.22
28-DEC-2022,19366,19530.55,19338.5,19489.85,128365345,5990.22
29-DEC-2022,19413.2,19477.35,19328.9,19450.65,193007731,7621.34
30-DEC-2022,19533.5,19567.5,19409.2,19444.95,335820143,7553.86
02-JAN-2023,19492.55,19576.35,19417.85,19515.15,244598963,5537.34
03-JAN-2023,19528.35,19606.6,19457.8,19548.1,261863137,6208.94
04-JAN-2023,19574.5,19608.15,19269.9,19296.95,288771625,7586.79
05-JAN-2023,19373.05,19445.2,19232.1,19411.3,283870189,7844.54
06-JAN-2023,19439.75,19462.35,19199.55,19287.6,265816037,7021
09-JAN-2023,19412.5,19533.85,19389.65,19489,215339145,6967.9
10-JAN-2023,19522.6,19526.7,19088.7,19200.9,247751716,8282.29
11-JAN-2023,19231.55,19247.85,19050.15,19162.7,256264982,9411.27
12-JAN-2023,19218.9,19231.6,19028.8,19129.6,218903091,7619.05
13-JAN-2023,19166.4,19307.6,19071.25,19282.15,280331891,8156.94
16-JAN-2023,19330.25,19378.65,19130.6,19188.15,376651275,7919.09
17-JAN-2023,19230.45,19239.8,18998.5,19175.65,332574063,8751.63
18-JAN-2023,19218.4,19255.25,19120.25,19239.3,238221330,8195.98
19-JAN-2023,19172.65,19208.7,19105.85,19178.6,193966529,6741.35
20-JAN-2023,19222.75,19251.2,19101.9,19123.15,242065103,6743.46
23-JAN-2023,19224.75,19230.15,19153.3,19192.25,237565128,6668.96
24-JAN-2023,19240.7,19248.85,19064.55,19101.85,207596415,7397.9
