Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
2018-02-28,12520.4,13786.95,11541.75,13309.95,3317395892.0,94162.37
2018-03-31,13300.85,13377.85,12393.1,12558.6,4589129676.0,97602.04000000001
2018-04-30,12637.55,14158.85,12636.2,14120.65,2413877519.0,118673.57
2018-05-31,14189.7,14434.35,13027.25,13583.45,3666844629.0,150899.97
2018-06-30,13428.0,13611.45,12148.8,12897.05,2129335067.0,104892.33
2018-07-31,13012.3,14176.75,12809.8,14151.8,2855062859.0,133084.18
2018-08-31,14203.2,14925.35,14059.3,14877.95,2438270218.0,128827.27
2018-09-30,14991.75,14996.1,12270.35,12415.75,2884566930.0,145161.19
2018-10-31,12355.65,12888.45,11301.4,12332.7,3627587017.0,192948.53
2018-11-30,12468.0,12535.55,12055.8,12445.75,2999492011.0,137673.58000000002
2018-12-31,12517.15,12542.45,11645.75,12191.25,2306119748.0,128744.44
2019-01-31,12207.5,12242.45,11429.85,11781.55,1677127871.0,167585.87
2019-02-28,11873.35,12108.4,11358.25,11655.2,1570573269.0,165174.06
2019-03-31,11697.4,12202.1,11695.7,12187.9,1526296430.0,155539.28
2019-04-30,12225.3,12349.45,12062.3,12250.9,1770034703.0,144443.92
2019-05-31,12248.5,12413.95,11471.7,12315.5,2341236690.0,199703.29
2019-06-30,12328.95,12522.5,12024.1,12373.9,1724564298.0,143116.07
2019-07-31,12428.95,12793.65,11646.9,11855.55,3802762078.0,230794.93
2019-08-31,11809.75,12041.05,11292.75,11809.1,200219691.0,11464.8
2019-09-30,11750.75,12691.55,11505.35,12401.8,0.0,0.0
2019-10-31,12429.0,12826.1,11920.1,12777.25,0.0,0.0
2019-11-30,12807.6,12946.75,12567.9,12771.4,0.0,0.0
2019-12-31,12790.3,13126.9,12437.45,13071.95,0.0,0.0
2020-01-31,13108.95,14079.4,13048.65,13893.5,2183316391.0,170377.28
2020-02-29,13891.65,14558.75,13220.75,13339.4,2115703706.0,168559.13999999998
2020-03-31,13526.55,13697.15,8672.65,10067.55,4134177607.0,279027.72
2020-04-30,10071.15,11799.95,9754.0,11722.2,4034132881.0,290456.0
2020-05-31,11325.45,11761.65,10984.65,11679.35,4733333646.0,342908.57999999996
2020-06-30,11834.85,14435.4,11830.45,13701.05,5042762669.0,385181.08999999997
2020-07-31,13698.85,14855.6,13636.1,14805.65,2909518097.0,262067.6
2020-08-31,14857.15,16119.5,14845.45,15442.25,3137999620.0,274596.29
2020-09-30,15462.1,17156.2,15391.3,16926.65,5011067014.0,325537.79
2020-10-31,17104.1,17322.8,16446.7,17165.85,6410863696.0,213441.30000000002
2020-11-30,17122.8,19134.2,16937.05,19075.85,7390983057.0,249873.44
2020-12-31,19255.7,19927.45,18332.25,19836.8,8242739321.0,201538.48
2021-01-31,19940.3,20875.6,19242.7,19275.45,9739126863.0,190140.05
2021-02-28,19392.15,21824.5,19123.5,21475.1,6877070814.0,206617.55
2021-03-31,21661.65,22956.8,21230.9,22648.2,6119910922.0,175281.26
2021-04-30,22846.3,24976.25,22842.4,24547.7,9462696730.0,324986.58999999997
2021-05-31,24439.45,26397.05,24367.8,26292.35,8889827107.0,311560.44
2021-06-30,26379.8,28037.5,25899.8,27135.0,11842112699.0,348121.29
2021-07-31,27160.4,28832.6,26784.8,28513.05,5205392145.0,232688.35
2021-08-31,28792.3,30264.55,27180.1,30213.4,4690828640.0,228286.76
2021-09-30,30509.0,32111.3,30229.8,31641.8,3992913275.0,197773.21
2021-10-31,31565.5,34771.35,30822.9,31388.8,6080128506.0,303773.65
2021-11-30,31544.6,34280.95,31125.1,32234.85,4398918645.0,229131.82
2021-12-31,32463.3,34674.7,31529.2,34605.05,4391322056.0,202147.04
2022-01-31,34691.6,36322.25,32177.15,33759.45,4169264534.0,216303.41
2022-02-28,34082.05,34523.95,29820.7,31885.3,3935256850.0,187262.55
2022-03-31,31688.6,35634.6,30966.3,35463.05,4095418462.0,236716.35
2022-04-30,35848.25,37907.8,34022.55,34333.15,3701366908.0,200079.69
2022-05-31,33956.4,33981.4,27666.7,30173.5,3582880122.0,192759.15
2022-06-30,30215.05,30361.45,24890.05,26214.1,3490015433.0,158277.35
2022-07-31,26095.2,28381.3,25770.5,28286.15,3755721100.0,137704.82
2022-08-31,28438.95,30144.25,28254.1,29957.6,4657505909.0,159203.68
2022-09-30,29862.85,31866.55,28714.7,29586.2,7552931222.0,188088.09
2022-10-31,29583.9,30610.75,28761.5,30520.5,10111051827.0,160174.85
2022-11-30,30624.0,31341.3,29915.5,30688.1,9198039883.0,189931.4
2022-12-31,30857.7,31124.7,27503.05,29685.5,23301082573.0,186732.49
2023-01-31,29775.75,29878.15,26479.85,27358.05,9875203374.0,156172.26
2023-02-28,27556.95,27615.4,24831.35,25277.2,8339857111.0,196444.39
2023-03-31,25362.1,26947.75,25022.4,25993.55,8995585422.0,173762.95
2023-04-30,26105.3,27677.55,25875.55,27659.4,5537756532.0,91192.07
2023-05-31,27816.3,29365.8,27727.25,29305.7,8013589494.0,160772.8
2023-06-30,29277.65,31320.55,29222.0,31290.15,7520430309.0,149940.31
2023-07-31,31461.4,34065.2,31455.4,33995.7,11282429874.0,173933.02
2023-08-31,34128.0,34829.65,33038.25,34723.85,9161586310.0,182074.26
2023-09-30,34787.85,36230.65,34674.35,36197.55,4901267451.0,62126.68
