Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
2018-02-08,13037.95,13297.15,13019.3,13264.9,213354255.0,5479.18
2018-02-15,13707.65,13713.55,13432.0,13505.4,158492155.0,5427.42
2018-02-22,13158.75,13210.4,13104.4,13139.2,169922938.0,5190.95
2018-03-01,13300.85,13377.85,13187.85,13202.0,118405778.0,3884.15
2018-03-08,12775.85,12861.05,12509.3,12772.65,240468741.0,5260.59
2018-03-15,13126.85,13230.1,13117.55,13164.85,352508619.0,4782.6
2018-03-22,12959.25,13004.9,12781.6,12795.9,193890022.0,5423.86
2018-04-05,12892.8,12995.0,12826.15,12974.15,113196560.0,5357.06
2018-04-12,13052.7,13062.8,12915.6,12935.45,103267824.0,5047.9
2018-04-19,13485.95,13491.85,13274.2,13465.8,101638270.0,5343.54
2018-04-26,13899.2,13963.15,13726.8,13835.0,209595179.0,9904.4
2018-05-03,14039.35,14042.6,13813.9,13868.0,310505499.0,7626.99
2018-05-10,14362.75,14434.35,13990.65,14022.0,153387883.0,6259.22
2018-05-17,13755.5,13894.5,13724.95,13823.35,154601106.0,7873.61
2018-05-24,13259.9,13335.15,13027.25,13102.0,101072475.0,4613.96
2018-05-31,13674.65,13700.75,13414.3,13583.45,141636006.0,8557.47
2018-06-07,12952.1,13227.15,12933.65,13192.45,102506429.0,5189.59
2018-06-14,13573.6,13595.15,13491.45,13573.65,89468853.0,4258.36
2018-06-21,13204.25,13217.1,12965.45,13007.2,77841670.0,4372.31
2018-06-28,12749.45,12752.25,12519.55,12556.0,122003045.0,6316.62
2018-07-05,13294.6,13391.6,13116.5,13132.4,94103534.0,5741.52
2018-07-12,13719.85,13764.2,13557.05,13618.35,108609845.0,6867.64
2018-07-19,13342.25,13375.45,13114.9,13232.65,243272026.0,8135.55
2018-07-26,13706.0,13788.5,13690.1,13764.55,135385561.0,6695.01
2018-08-02,14322.05,14332.15,14119.0,14204.8,130479475.0,5802.48
2018-08-09,14464.55,14527.0,14386.8,14478.5,106097133.0,5330.18
2018-08-16,14496.85,14627.4,14469.5,14534.9,90812466.0,5754.94
