Portfolio Summary - 2026-01-21,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Category,Invested,Current Value,Overall Gain,Overall %
Gold (ETFs + Bonds),3869840.33,7299259.32,3429418.99,0.886191340612753
Silver,1974347.34,3307206,1332858.66,0.675088234474487
International (US),966671.16,1268320.8,301649.64,0.312049901230114
Stocks - Momentum & Value (India),1565011.73,1790850.92,225839.19,0.144305110096523
MF - Debt,5290000,5319751.12,29751.1200000001,0.00562403024574671
MF - Size (ELSS),185076.66,283837.23,98760.57,0.533619798412182
MF - Low Volatility,2432000,3273827.5,841827.5,0.346146175986842
MF - Momentum,863522.66,1007255.68,143733.02,0.166449621599971
TOTAL,17146469.88,23550308.57,6403838.69,0.37347854892683
