"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ABCAPITAL",192,225.69,363.05,43331.68,69705.6,26373.92,60.87,-1.59,""
"ABSLAMC",104,965.4,1073.05,100402.1,111597.2,11195.1,11.15,-1.2,""
"ACUTAAS",43,2568.97,2734.3,110465.6,117574.9,7109.3,6.44,0.32,""
"ADANIPORTS",43,1446.32,1760.4,62191.7,75697.2,13505.5,21.72,1.59,""
"AIAENG",19,3895.65,3971.9,74017.3,75466.1,1448.8,1.96,-0.84,""
"ANANDRATHI",32,3360.21,3611.8,107526.7,115577.6,8050.9,7.49,-0.04,""
"ATHERENERG",125,907.5,915.05,113437.5,114381.25,943.75,0.83,0.87,""
"BANKINDIA",489,125.98,139.77,61606.49,68347.53,6741.04,10.94,-0.43,""
"BHARATFORG",60,1714.86,1989.7,102891.4,119382,16490.6,16.03,-0.16,""
"BSE",32,3023.82,3907.4,96762.3,125036.8,28274.5,29.22,-1.42,""
"CANBK",447,146.77,134.35,65604.6,60054.45,-5550.15,-8.46,-1.18,""
"CCL",103,1083.28,1124,111578.3,115772,4193.7,3.76,-6.95,""
"EMBASSY-RR",2100,451.4,421.52,947940,885192,-62748,-6.62,0.1,""
"FEDERALBNK",383,273.88,297.3,104896.9,113865.9,8969,8.55,0.07,""
"GESHIP",79,1365.85,1588.3,107902.4,125475.7,17573.3,16.29,2.31,""
"GOLDBEES",13602,122.64,124.31,1668148.26,1690864.62,22716.36,1.36,-0.13,""
"GOLDCASE",13165,22.06,23.66,290481.75,311483.9,21002.15,7.23,-0.08,""
"GVTD",24,3824.47,4660,91787.3,111840,20052.7,21.85,-2.63,""
"INDIANB",82,918.9,865.65,75350.1,70983.3,-4366.8,-5.8,0.56,""
"INDUSTOWER",170,435.6,404.85,74052,68824.5,-5227.5,-7.06,0.46,""
"KARURVYSYA",269,277.99,304.65,74779.05,81950.85,7171.8,9.59,-2.84,""
"KIRLOSENG",114,1359.34,1728.9,154964.4,197094.6,42130.2,27.19,0.06,""
"LAURUSLABS",101,1041.92,1229.45,105234.2,124174.45,18940.25,18,1.91,""
"LUPIN",32,2308.3,2379.5,73865.6,76144,2278.4,3.08,-3.28,""
"M&M",20,2969.67,3330.4,59393.3,66608,7214.7,12.15,-1.2,""
"MCX",38,2907.1,3097.8,110469.8,117716.4,7246.6,6.56,1.81,""
"NATIONALUM",434,349.47,401.95,151670.35,174446.3,22775.95,15.02,-0.38,""
"NH",35,1768.52,1820.3,61898.1,63710.5,1812.4,2.93,-1.93,""
"SGBDE31III-GB",200,8534.31,15678.99,1706861.27,3135798,1428936.73,83.72,-0.13,""
"SGBJAN29X-GB",51,14092.11,15158.4,718697.61,773078.4,54380.79,7.57,-0.08,""
"SOUTHBANK",1695,40.09,40.91,67949.55,69342.45,1392.9,2.05,-2.06,""
"UNIONBANK",407,163.13,166.24,66394.05,67659.68,1265.63,1.91,-0.62,""
"WELCORP",88,1247.31,1291.9,109763.6,113687.2,3923.6,3.57,-0.56,""
"HDFC Liquid Fund",803,5386.18,5454.1236,4325105.83,4379661.25,54555.42,1.26,0.02,""
"HDFC Multi-Asset Allocation Fund",12067.655,82.86,83.809,999950.03,1011378.1,11428.07,1.14,-0.26,""
"ICICI Prudential Commodities Fund",3898.741,51.3,52.39,199990.21,204255.04,4264.83,2.13,-0.8,""
"ICICI Prudential Nifty Alpha Low - Volatility 30 ETF FOF",226353.945,11.19,14.7805,2531882.05,3345624.48,813742.43,32.14,-0.26,""
"Nippon India Taiwan Equity fund",1550.166,32.25,36.3304,49997.5,56318.15,6320.65,12.64,-2.19,""
"Parag Parikh Flexi Cap Fund",10919.715,91.57,91.5245,999949.97,999421.46,-528.51,-0.05,-0.31,""
"Tata Arbitrage Fund",140447.064,15.55,15.9728,2184640.04,2243332.86,58692.83,2.69,0.07,""
"Tata Nifty Midcap 150 Momentum 50 Index Fund",68561.6,15.51,18.7564,1063472.69,1285968.79,222496.1,20.92,-0.24,""
